week,hour,day,day_type,southbound,northbound
4,17,Fri,weekday,5105,5820
4,18,Fri,weekday,4624,4638
4,19,Fri,weekday,3986,4040
4,20,Fri,weekday,2869,3019
4,21,Fri,weekday,2189,2031
4,22,Fri,weekday,1639,1718
4,23,Fri,weekday,1380,1161
4,0,Sat,weekend,1192,803
4,1,Sat,weekend,878,456
4,2,Sat,weekend,531,403
4,3,Sat,weekend,382,735
4,4,Sat,weekend,522,1011
4,5,Sat,weekend,791,1213
4,6,Sat,weekend,1416,1494
4,7,Sat,weekend,2005,2281
4,8,Sat,weekend,2826,3018
4,9,Sat,weekend,3973,3935
4,10,Sat,weekend,4759,4816
4,11,Sat,weekend,5634,5501
4,12,Sat,weekend,6151,4751
4,13,Sat,weekend,5908,5714
4,14,Sat,weekend,5655,5672
4,15,Sat,weekend,5502,4879
4,16,Sat,weekend,4883,4583
4,17,Sat,weekend,4519,4479
4,18,Sat,weekend,4192,4119
4,19,Sat,weekend,3310,3132
4,20,Sat,weekend,2216,1928
4,21,Sat,weekend,1546,1310
4,22,Sat,weekend,1366,1085
4,23,Sat,weekend,1190,969
4,0,Sun,weekend,921,662
4,1,Sun,weekend,1229,776
4,2,Sun,weekend,204,319
4,3,Sun,weekend,232,572
4,4,Sun,weekend,396,784
4,5,Sun,weekend,499,725
4,6,Sun,weekend,850,1031
4,7,Sun,weekend,1243,1609
4,8,Sun,weekend,2050,2306
4,9,Sun,weekend,3621,3365
4,10,Sun,weekend,4761,4333
4,11,Sun,weekend,5321,4866
4,12,Sun,weekend,5262,5555
4,13,Sun,weekend,5324,5506
4,14,Sun,weekend,5116,5827
4,15,Sun,weekend,4763,5103
4,16,Sun,weekend,4459,4427
4,17,Sun,weekend,4165,4226
4,18,Sun,weekend,3875,3768
4,19,Sun,weekend,2889,2676
4,20,Sun,weekend,2172,2004
4,21,Sun,weekend,1490,1540
4,22,Sun,weekend,1582,1138
4,23,Sun,weekend,1192,845
